name,party,state,incumbent_challenge_full,raised,spent
"GIBENS, BRIAN WAYNE",REP,FL,Challenger,$0 ,$0 
"MACNAUGHTON, GEORGE SCOTT",LIB,FL,Challenger,$0 ,$0 
"OEHLRICH, DONALD PAUL",REP,FL,Challenger,$0 ,$0 
"ORTIZ, ROBERT EDWARD",REP,FL,Challenger,$0 ,$0 
"CRENSHAW, ANDER",REP,FL,Incumbent,"$1,135,726.47 ","$1,088,962.03 "
"NUGENT, RICHARD B",REP,FL,Incumbent,"$55,313.79 ","$120,350.08 "
"WEBSTER, DANIEL",REP,FL,Incumbent,"$875,287.50 ","$1,010,409.94 "
"ROSS, DENNIS ALAN",REP,FL,Incumbent,"$1,220,745.57 ","$1,199,262.94 "
"WILSON, FREDERICA S.",DEM,FL,Incumbent,"$488,779.75 ","$397,311.07 "
"ROS-LEHTINEN, ILEANA THE HON.",REP,FL,Incumbent,"$1,558,423.54 ","$3,436,514.81 "
"DEUTCH, THEODORE ELIOT",DEM,FL,Incumbent,"$1,514,747.39 ","$1,715,240.17 "
"DESANTIS, RONALD D.",REP,FL,Incumbent,"$4,928,629.93 ","$3,928,266.85 "
"MILLER, JEFFERSON B.",REP,FL,Incumbent,"$814,995.17 ","$765,907.08 "
"BROWN, CORRINE",DEM,FL,Incumbent,"$558,820.10 ","$573,010.04 "
"YOHO, THEODORE SCOTT",REP,FL,Incumbent,"$833,701.83 ","$794,643.44 "
"MICA, JOHN L. MR.",REP,FL,Incumbent,"$1,646,784.85 ","$1,828,019.08 "
"FRANKEL, LOIS J.",DEM,FL,Incumbent,"$1,644,081.84 ","$904,770.06 "
"HASTINGS, ALCEE L",DEM,FL,Incumbent,"$811,734.30 ","$843,089.12 "
"DIAZ-BALART, MARIO",REP,FL,Incumbent,"$1,385,125.59 ","$1,529,748.66 "
"GRAHAM, GWEN",DEM,FL,Incumbent,"$2,177,145.72 ","$953,396.56 "
"JOLLY, DAVID W.",REP,FL,Incumbent,"$1,989,867.96 ","$2,230,282.46 "
"CLAWSON, CURTIS J",REP,FL,Incumbent,"$386,865.23 ","$321,849.28 "
"SCHULTZ, DEBBIE WASSERMAN",DEM,FL,Incumbent,"$4,037,050.28 ","$4,242,401.09 "
"CURBELO, CARLOS MR.",REP,FL,Incumbent,"$3,885,811.58 ","$3,852,722.34 "
"GRAYSON, ALAN MARK",DEM,FL,Incumbent,"$5,052,691.04 ","$4,850,475.96 "
"BILIRAKIS, GUS M",REP,FL,Incumbent,"$1,414,045.95 ","$1,751,756.14 "
"CASTOR, KATHY",DEM,FL,Incumbent,"$735,013.13 ","$847,945.54 "
"BUCHANAN, VERNON",REP,FL,Incumbent,"$1,660,718.68 ","$918,163.59 "
"POSEY, BILL",REP,FL,Incumbent,"$896,408.67 ","$772,848.12 "
"ROONEY, TOM MR.",REP,FL,Incumbent,"$625,662.49 ","$918,536.35 "
"PUESCHEL, DEBORAH KATZ",W,FL,Open seat,$0 ,$0 
"BRUDERLY, DAVID EDWARD",DEM,FL,Open seat,"$50,194.24 ","$50,194.24 "
"EHRLICH, JESSICA D",DEM,FL,Open seat,$0 ,"$57,908.29 "
"GOSS, CHAUNCEY P",REP,FL,Open seat,"$392,853.79 ","$392,853.79 "
"DONALDS, BYRON",REP,FL,Open seat,$0 ,$0 
"XUNA, JOHN (AKA JUAN)",DEM,FL,Open seat,"$1,849.31 ",$0 
"GAILLOT, JACQUES RENE JR",DEM,FL,Open seat,$500.00 ,"$3,925.00 "
"WICHERN, MARK",REP,FL,Open seat,"$79,026.00 ","$78,022.00 "
"SCHNACKENBERG, MATTHEW JOHN",LIB,FL,Open seat,"$1,611.00 ","$1,274.00 "
"KOLLER, DAVID C",DEM,FL,Open seat,"$49,745.28 ","$57,243.04 "
"SINK, ALEX",DEM,FL,Open seat,"$4,079.76 ","$55,582.13 "
"NEELD J, ROBERT M",DEM,FL,Open seat,"$15,390.00 ","$15,122.46 "
"DOMINO, CARL J",REP,FL,Open seat,"$587,525.81 ","$583,340.14 "
"BENACQUISTO, LIZBETH",REP,FL,Open seat,$125.00 ,$217.76 
"SPAIN, PAUL DOUGLAS MR.",REP,FL,Open seat,"$49,834.91 ","$49,825.33 "
"FRAZIER, BRIAN WAYNE",REP,FL,Open seat,"$27,815.34 ","$28,160.87 "
"GAETZ, MATT",REP,FL,Open seat,"$1,172,645.54 ","$1,113,704.51 "
"KONDRAT'YEV, AMANDA",DEM,FL,Open seat,$258.20 ,$238.20 
"MILLS, JOHN",REP,FL,Open seat,"$7,875.97 ","$8,951.29 "
"ZUMWALT, JAMES",REP,FL,Open seat,"$139,903.23 ","$139,903.23 "
"DOSEV, CRIS",REP,FL,Open seat,"$505,278.25 ","$499,197.90 "
"SPECHT, STEVEN K.",DEM,FL,Open seat,"$61,750.03 ","$54,600.77 "
"EVERS, GREG",REP,FL,Open seat,"$234,714.05 ","$235,974.65 "
"SCHREY, ELIZABETH ANNE",NPA,FL,Open seat,$213.00 ,$212.00 
"BYDLAK, REBEKAH JOHANSEN MRS.",REP,FL,Open seat,"$240,131.18 ","$240,131.18 "
"BLAKE, ROBERT EDWARD",REP,FL,Open seat,"$15,700.00 ","$9,592.00 "
"THOMAS, MARY",REP,FL,Open seat,"$1,103,175.50 ","$1,097,740.42 "
"DUNN, NEAL PATRICK MD, FACS",REP,FL,Open seat,"$2,060,858.58 ","$2,047,935.63 "
"MORAN, JEFF",REP,FL,Open seat,"$20,845.00 ","$20,845.00 "
"SUKHIA, KEN",REP,FL,Open seat,"$206,903.30 ","$206,903.30 "
"LAPHAM, ROBERT B",LIB,FL,Open seat,"$18,286.60 ","$27,973.97 "
"DARTLAND, WALTER",DEM,FL,Open seat,"$136,763.01 ","$136,763.01 "
"CRAPPS, STEVE",DEM,FL,Open seat,"$5,475.00 ","$6,515.00 "
"MCCLURE, WILLIAM A MR",REP,FL,Open seat,"$167,029.33 ","$167,033.24 "
"RUTHERFORD, JOHN",REP,FL,Open seat,"$835,236.70 ","$833,240.76 "
"RAY, LAKE GROSS III",REP,FL,Open seat,"$243,900.44 ","$243,900.44 "
"TANZLER, HANS MR. III",REP,FL,Open seat,"$834,250.36 ","$834,250.36 "
"MALIN, EDWARD ANTHONY",REP,FL,Open seat,"$87,100.00 ","$89,798.78 "
"KAUFMAN, STEVE",REP,FL,Open seat,"$33,529.00 ","$33,529.00 "
"CRABTREE, VALLERI",DEM,FL,Open seat,"$66,109.61 ","$66,141.32 "
"RANGEL, RICARDO",DEM,FL,Open seat,"$31,324.99 ","$31,349.99 "
"RANDOLPH, SUSANNAH",DEM,FL,Open seat,"$780,693.78 ","$780,454.34 "
"SOTO, DARREN",DEM,FL,Open seat,"$1,219,140.66 ","$1,189,875.53 "
"GRAYSON, DENA MD, PHD",DEM,FL,Open seat,"$644,570.01 ","$635,042.51 "
"LIEBNITZKY, WAYNE",REP,FL,Open seat,"$32,471.39 ","$31,975.43 "
"RENTAS, WANDA",REP,FL,Open seat,"$17,795.00 ","$17,795.00 "
"BORDERS, JASON D",DEM,FL,Open seat,$646.91 ,$646.91 
"MARTIN, JACK",REP,FL,Open seat,"$10,320.00 ","$10,320.00 "
"HUDSON, GEORGE T",REP,FL,Open seat,$0 ,$0 
"LA FEVERS, MICHAEL S",DEM,FL,Open seat,$0 ,$0 
"TAYLOR, PRISCILLA ANN",DEM,FL,Open seat,"$163,619.00 ","$136,255.22 "
"NEGRON, REBECCA",REP,FL,Open seat,"$1,127,781.71 ","$1,126,958.63 "
"MCKINLAY, MELISSA",DEM,FL,Open seat,"$322,963.00 ","$320,635.93 "
"MOWERY, TOD",REP,FL,Open seat,"$104,265.51 ","$104,265.51 "
"MAST, BRIAN",REP,FL,Open seat,"$2,967,556.89 ","$2,872,938.76 "
"KOZELL, RICK",REP,FL,Open seat,"$656,796.71 ","$656,390.19 "
"CHANE, JONATHAN",DEM,FL,Open seat,"$719,747.10 ","$715,071.10 "
"SPALDING, CARLA ARLENE",IND,FL,Open seat,"$26,883.53 ","$26,680.15 "
"NIKPOUR, NOELLE",REP,FL,Open seat,"$231,827.00 ","$231,827.00 "
"PERKINS, RANDY",DEM,FL,Open seat,"$10,873,242.18 ","$10,862,988.41 "
"ROTH, RICK",REP,FL,Open seat,"$90,940.52 ","$90,940.64 "
"ST LOUIS LAROSE, VALENCIA",DEM,FL,Open seat,$0 ,$0 
"ROONEY, FRANCIS",REP,FL,Open seat,"$5,147,060.30 ","$4,836,704.32 "
"BONGINO, DANIEL J",REP,FL,Open seat,"$432,589.75 ","$432,589.75 "
"ST LOUIS LAROSE, VALENCIA",DEM,FL,Open seat,$0 ,$0 
"ROBERSON, YOLLY",DEM,FL,Open seat,$0 ,$0 
"TRUJILLO, ANNA MARIE",REP,FL,Open seat,$0 ,$0 
"SNIDER, THOMAS K",LIB,FL,Open seat,$0 ,$0 
"BUSH, JAMES III",DEM,FL,Open seat,$0 ,$0 
"POITIER, COREY B",REP,FL,Open seat,$0 ,$0 
"RIVERA, LUIS ANTONIO",DEM,FL,Open seat,$0 ,$0 
"BOUFFARD, JEFFREY BRIAN",UNK,FL,Open seat,$0 ,$0 
"ARROJO, JOSE ROLANNDO",DEM,FL,Open seat,$0 ,$0 
"BRUTUS, PHILLIP J",DEM,FL,Open seat,$0 ,$0 
"OSINSKI, JOHN V",IND,FL,Open seat,$0 ,$0 
"LYNCH, EDWARD J ",REP,FL,Open seat,$0 ,$0 
"ADAM, LEROY",DEM,FL,Open seat,$0 ,$0 
"BENTON, C DAN",REP,FL,Open seat,$0 ,$0 
"ARMENDARIZ, VICTOR",REP,GA,Challenger,"$7,095.00 ","$7,039.00 "
"HICKS, ANGELA",REP,GA,Challenger,"$46,600.00 ","$46,599.00 "
"VANN, DIANE ELIZABETH SWANSON",REP,GA,Challenger,"$23,142.43 ","$20,191.78 "
"HAWKINS, B LEE",REP,GA,Challenger,$500.00 ,$0 
"CATES, CHRISTOPHER U MD",REP,GA,Challenger,$0 ,$0 
"FITZPATRICK, ROGER ",REP,GA,Challenger,"$17,965.00 ","$16,049.02 "
"MCKINNEY, CYNTHIA",GRE,GA,Challenger,$0 ,$0 
"LLOP, WILLIAM",REP,GA,Challenger,"$407,940.00 ","$156,799.49 "
"MCLEOD, DANIEL WRIGHT",REP,GA,Challenger,$79.00 ,$79.00 
"DUKE, GREGORY PAUL",REP,GA,Challenger,"$45,535.00 ","$44,957.38 "
"CHILDS, VIVIAN LOUISE",REP,GA,Challenger,$0 ,$0 
"BROWN, THOMAS",DEM,GA,Challenger,$0 ,$0 
"FONTAINE, BERNARD ARTHUR",REP,GA,Challenger,"$17,491.34 ","$15,121.29 "
"BARROW, JOHN J.",DEM,GA,Challenger,"$6,597.29 ","$30,077.04 "
"YU, EUGENE MR.",REP,GA,Challenger,"$55,417.26 ","$55,423.31 "
"SCOTT, BOBBY L.",REP,GA,Challenger,"$135,250.00 ","$135,250.00 "
"BELL, DOUGLAS ANTHONY",REP,GA,Challenger,"$10,268.57 ","$10,106.94 "
"STOOKSBURY, RODNEY",DEM,GA,Challenger,$0 ,$0 
"SCUPIN, MICHAEL LEE",REP,GA,Challenger,"$11,339.39 ","$11,339.39 "
"BROUN, PAUL",REP,GA,Challenger,"$160,318.86 ","$158,710.92 "
"DAVIS, BILLY",REP,GA,Challenger,"$72,875.02 ","$69,446.45 "
"COWAN, DANIEL",REP,GA,Challenger,"$395,184.52 ","$289,643.92 "
"MCCRACKEN, TRICIA CARPENTER",DEM,GA,Challenger,"$27,528.00 ","$10,440.00 "
"TUCK, MICKEY",REP,GA,Challenger,"$12,632.00 ","$12,325.00 "
"WORLEY, DAVID JAMES",DEM,GA,Challenger,$0 ,$0 
"GREENE, WILLIAM LAWRENCE",REP,GA,Challenger,$0 ,$385.00 
"RISH, WILLIAM PAUL",REP,GA,Challenger,$0 ,$0 
"GAMMON JR, HUGH HENDERSON",DEM,GA,Challenger,$0 ,$0 
"SCOTT, JEFF",DEM,GA,Challenger,$0 ,$0 
"SLEEPER, SONJA",REP,GA,Challenger,$0 ,$0 
"MALIK, SHAHID HAMID",REP,GA,Challenger,$0 ,$0 
"FERRELL, LEE R II",REP,GA,Challenger,$0 ,$0 
"OWENS, MICHAEL CLAUDE",DEM,GA,Challenger,$0 ,$0 
"ADAMS, RHUEDOLPH 'RUDY'",REP,GA,Challenger,$0 ,$0 
"DUTTON, DELVIS WILLIAM",REP,GA,Challenger,$0 ,$0 
"GINGREY, PHIL REP.",REP,GA,Challenger,$0 ,$0 
"MEYERS, VALERIE SARGENT",REP,GA,Challenger,$0 ,$0 
"WIGHT, THOMAS DEE",DEM,GA,Challenger,$0 ,$0 
"MASON, JAMES PAUL",IND,GA,Challenger,$0 ,$0 
"BROUN, PAUL COLLINS",REP,GA,Challenger,$0 ,$0 
"UNTERMYER, SAMUEL III 'SANDY'",DEM,GA,Challenger,$0 ,$0 
"MURPHY, MIKE",DEM,GA,Challenger,$0 ,$0 
"HECHT, WAYNE MICHAEL",IND,GA,Challenger,$0 ,$0 
"UNDERWOOD, ERIK MONROE",REP,GA,Challenger,$0 ,$0 
"MONTIGEL, ROBERT G",DEM,GA,Challenger,$0 ,$0 
"HICE, JODY",REP,GA,Incumbent,"$494,549.33 ","$425,435.32 "
"WOODALL, ROB REP.",REP,GA,Incumbent,"$663,565.45 ","$390,260.26 "
"SCOTT, JAMES AUSTIN",REP,GA,Incumbent,"$996,674.31 ","$1,043,968.00 "
"GRAVES, JOHN THOMAS MR. JR.",REP,GA,Incumbent,"$1,368,637.90 ","$777,699.83 "
"BISHOP, SANFORD D JR",DEM,GA,Incumbent,"$1,112,769.74 ","$1,058,907.10 "
"COLLINS, DOUGLAS ALLEN",REP,GA,Incumbent,"$1,239,467.39 ","$1,333,814.00 "
"ALLEN, RICHARD W",REP,GA,Incumbent,"$1,143,612.76 ","$1,098,325.93 "
"SCOTT, DAVID ALBERT",DEM,GA,Incumbent,"$1,243,041.31 ","$938,788.30 "
"CARTER, EARL LEROY",REP,GA,Incumbent,"$1,271,835.81 ","$987,256.84 "
"PRICE, THOMAS EDMUNDS",REP,GA,Incumbent,"$2,337,387.10 ","$2,462,526.70 "
"WESTMORELAND, LYNN A.",REP,GA,Incumbent,"$451,747.05 ","$618,900.51 "
"LOUDERMILK, BARRY",REP,GA,Incumbent,"$833,620.13 ","$915,365.12 "
"JOHNSON, HENRY C 'HANK'",DEM,GA,Incumbent,"$505,298.56 ","$450,610.66 "
"LEWIS, JOHN R.",DEM,GA,Incumbent,"$1,092,287.29 ","$1,058,522.33 "
"CRANE, MICHAEL ROBERT",REP,GA,Open seat,"$528,239.04 ","$525,688.63 "
"FLANEGAN, CHARLES EDWARD JR",REP,GA,Open seat,"$153,750.00 ","$153,579.53 "
"SIMPSON, STEPHEN K MR.",REP,GA,Open seat,"$1,600.00 ","$1,707.81 "
"LEVENE, ALLAN",REP,GA,Open seat,$0 ,$0 
"JOHNSON, ROBERT EUGENE MD",REP,GA,Open seat,$0 ,"$5,232.89 "
"MCCALLUM, JOHN",REP,GA,Open seat,"$1,713.33 ","$1,673.33 "
"REESE, BRIAN CORWIN",DEM,GA,Open seat,$134.00 ,$73.66 
"COLLINS, MICHAEL A JR",REP,GA,Open seat,$0 ,$0 
"DIOUS, IVORY KENNETH",DEM,GA,Open seat,$0 ,$0 
"BARR, BOB",REP,GA,Open seat,"$2,600.00 ","$3,407.53 "
"PRIDEMORE, TRICIA",REP,GA,Open seat,$341.57 ,$477.50 
"MIX, RICHARD",REP,GA,Open seat,"$78,380.00 ","$60,801.47 "
"PACE, JIM",REP,GA,Open seat,"$530,547.01 ","$528,903.87 "
"FERGUSON, ANDERSON DREW IV",REP,GA,Open seat,"$1,258,353.98 ","$1,216,231.22 "
"ANDERS, SAMUEL",REP,GA,Open seat,"$6,859.97 ","$6,547.34 "
"COOK, TAMARKUS",DEM,GA,Open seat,"$16,640.97 ","$4,343.94 "
"CARTER, JAMES DARWIN",REP,GA,Open seat,$0 ,$0 
"JARVIS, B STEFAN",REP,GA,Open seat,$0 ,$0 
"DAVIS, SUSAN MAECHELL",REP,GA,Open seat,$0 ,$0 
"TAVIO, AMY LYNN",DEM,GA,Open seat,$0 ,$0 
"JONES, JEREMY EDWARD",REP,GA,Open seat,$0 ,$0 
"KIRBY, LESTER THOMAS",REP,GA,Open seat,$0 ,$0 
"MALONE, WILLIAM F JR",REP,GA,Open seat,$0 ,$0 
"DOOLEY, THOMAS EUGENE",REP,GA,Open seat,$0 ,$0 
"METCALFE, MARGARET",REP,GU,Challenger,"$9,293.49 ","$11,580.49 "
"BABAUTA, ANTHONY M",DEM,GU,Challenger,"$45,890.00 ","$44,860.00 "
"CAMACHO, FELIX P GOVERNOR",REP,GU,Challenger,"$129,213.00 ","$126,941.30 "
"DIAZ, JONATHAN FRANK BLAS",IND,GU,Challenger,$0 ,$0 
"BORDALLO, MADELEINE Z. MS.",DEM,GU,Incumbent,"$189,600.70 ","$191,715.54 "
"MATSUNAGA, MATTHEW",DEM,HI,Challenger,$0 ,$0 
"TURNER, RICHARD L",NON,HI,Challenger,$0 ,$0 
"CHAN HODGES, SHAY",DEM,HI,Challenger,"$17,052.54 ","$16,824.40 "
"HIRONO, MAZIE MRS.",DEM,HI,Challenger,$0 ,$0 
"SONN, ANDREW VON",IND,HI,Challenger,$0 ,$0 
"AIPOALANI, HANALEI Y",DEM,HI,Challenger,$0 ,$0 
"CAPELOUTO, MARISSA MS",REP,HI,Challenger,$0 ,$0 
"GABBARD, TULSI",DEM,HI,Incumbent,"$2,262,362.51 ","$1,295,662.48 "
"TAKAI, KYLE MARK",DEM,HI,Incumbent,"$1,132,561.90 ","$791,854.38 "
"DJOU, CHARLES K",REP,HI,Open seat,$219.01 ,"$55,572.88 "
"HANABUSA, COLLEEN WAKAKO",DEM,HI,Open seat,"$972,777.38 ","$489,871.41 "
"ANDERSON, IKAIKA",DEM,HI,Open seat,$353.82 ,$353.82 
"KIM, DONNA MERCADO",DEM,HI,Open seat,$30.00 ,"$1,000.00 "
"MANAHAN, JOEY",DEM,HI,Open seat,"$4,705.20 ","$6,657.62 "
"HANNEMANN, MULIUFI F 'MUFI'",DEM,HI,Open seat,"$9,817.37 ","$24,794.65 "
"DEL CASTILLO, RAFAEL GOODWIN",DEM,HI,Open seat,$0 ,$0 
"ESPERO, WILLIAM",DEM,HI,Open seat,$0 ,$0 
"BROWNE, VINNY",DEM,HI,Open seat,$0 ,$0 
"MIYAMOTO, HANNAH STEPHANIE",DEM,HI,Open seat,$0 ,$0 
"CAMPBELL, MATTHEW",DEM,IA,Challenger,$0 ,$0 
"MURPHY, PATRICK",DEM,IA,Challenger,"$259,095.85 ","$259,237.33 "
"VERNON, MONICA W",DEM,IA,Challenger,"$2,951,995.11 ","$2,945,150.95 "
"CRAMER, ROBERT JAMES",REP,IA,Challenger,"$2,409.76 ","$2,876.59 "
"MOWRER, JIM",DEM,IA,Challenger,"$1,959,561.38 ","$1,961,681.69 "
"LATHAM, THOMAS",REP,IA,Challenger,"$13,576.65 ","$60,216.89 "
"PATEL, RAVI B",DEM,IA,Challenger,"$820,983.42 ","$820,983.42 "
"KROEGER, GARY",DEM,IA,Challenger,"$78,644.63 ","$76,269.26 "
"PETERS, CHRISTOPHER CARL",REP,IA,Challenger,"$216,592.81 ","$208,818.45 "
"ADAMS, DESMUND DOUGLAS",DEM,IA,Challenger,"$79,053.88 ","$78,253.99 "
"SHERZAN, MIKE",DEM,IA,Challenger,"$891,645.58 ","$891,645.58 "
"WEAVER, KIMBERLY",DEM,IA,Challenger,"$160,509.79 ","$149,415.31 "
"MILLER-MEEKS, MARIANNETTE JANE",REP,IA,Challenger,"$5,000.00 ","$5,000.00 "
"SCHMETT, KIM",REP,IA,Challenger,$0 ,$0 
"JOHNSON, WILL",REP,IA,Challenger,$0 ,$0 
"BATCHER, SCOTT",REP,IA,Challenger,$0 ,$0 
"SICARD, GARY JOSEPH",LIB,IA,Challenger,$0 ,$0 
"WALDREN, MATTHEW C",REP,IA,Challenger,$0 ,$0 
"TACK, JONATHAN JAY",OTH,IA,Challenger,$0 ,$0 
"LOFGREN, MARK S",REP,IA,Challenger,$0 ,$0 
"BALLENGER, JEFFREY A",REP,IA,Challenger,$0 ,$0 
"WELCH, JASON LEE",REP,IA,Challenger,$0 ,$0 
"BLUM, RODNEY",REP,IA,Incumbent,"$2,406,981.12 ","$2,403,972.06 "
"KING, STEVE MR.",REP,IA,Incumbent,"$947,982.84 ","$957,450.00 "
"YOUNG, DAVID",REP,IA,Incumbent,"$2,522,676.60 ","$2,468,355.99 "
"LOEBSACK, DAVID WAYNE",DEM,IA,Incumbent,"$1,626,574.06 ","$699,336.20 "
"ZAUN, BRAD",REP,IA,Open seat,$0 ,$0 
"KAJTAZOVIC, ANESA",DEM,IA,Open seat,$0 ,"$3,521.73 "
"APPEL, STACI",DEM,IA,Open seat,$581.19 ,"$85,280.99 "
"SCHULTZ, MATTHEW DAVID",REP,IA,Open seat,"$2,628.04 ","$2,332.44 "
"WRIGHT, EDWARD BENEDICT",LIB,IA,Open seat,$0 ,"$1,408.85 "
"DELACERDA, GABRIEL JOSE",DEM,IA,Open seat,$0 ,$0 
"SHAW, MONTE",REP,IA,Open seat,$0 ,$0 
"STALLINGS, RICHARD ",DEM,ID,Challenger,$64.00 ,"$2,295.41 "
"SALI, WILLIAM T.",REP,ID,Challenger,$370.00 ,$370.00 
"PIOTROWSKI, JAMES M",DEM,ID,Challenger,"$320,424.19 ","$320,424.19 "
"RODERICK, STEVE",REP,ID,Challenger,$0 ,$0 
"TOMKINS, ANTHONY DAVID",CON,ID,Challenger,"$1,438.62 ","$1,399.32 "
"RINGO, SHIRLEY G",DEM,ID,Challenger,$0 ,$0 
"WASHBURN, MICHAEL JAMES",LIB,ID,Challenger,$0 ,$0 
"SNEDDON, DAVID P",DEM,ID,Challenger,$0 ,$0 
"CHADWICK, MICHAEL L",REP,ID,Challenger,$0 ,$0 
"BURTON, KATHERINE",REP,ID,Challenger,$0 ,$0 
"OLSON, DAVID EDWIN",IND,ID,Challenger,$0 ,$0 
"LABRADOR, RAUL R. HON.",REP,ID,Incumbent,"$508,140.31 ","$877,578.38 "
"SIMPSON, MICHAEL",REP,ID,Incumbent,"$1,015,933.11 ","$933,105.89 "
"SORENSEN, SHEILA",REP,ID,Open seat,$0 ,$0 
"MARSHALL, ROBERT",DEM,IL,Challenger,"$24,710.00 ","$46,202.00 "
"WALSH, JOE",REP,IL,Challenger,$0 ,$0 
"SCHILLING, ROBERT T.",REP,IL,Challenger,$0 ,"$47,538.76 "
"COLLINS, FREDERICK",DEM,IL,Challenger,"$20,000.00 ","$20,000.00 "
"ATKINSON, JOHN M",DEM,IL,Challenger,"$2,000.00 ","$159,266.62 "
"JAFRI, KHIZAR",IND,IL,Challenger,$0 ,$0 
"COOLIDGE, LESLIE ANNE",DEM,IL,Challenger,$15.41 ,$90.00 
"SCHNEIDER, BRADLEY SCOTT",DEM,IL,Challenger,"$5,197,782.27 ","$5,057,592.74 "
"ENYART, WILLIAM L. JR.",DEM,IL,Challenger,$403.17 ,"$12,789.01 "
"BRADSHAW, PAULA",GRE,IL,Challenger,"$3,963.66 ","$4,445.99 "
"ANDERSON, DENNIS",DEM,IL,Challenger,$41.80 ,"$5,548.74 "
"EWING, THOMAS W",REP,IL,Challenger,$100.00 ,"$7,229.00 "
"OLSEN, RANDALL WAYNE",DEM,IL,Challenger,$0 ,$0 
"BRUTUS, O. PATRICK",DEM,IL,Challenger,"$42,466.00 ","$39,081.37 "
"WALLACE, ERIC M.",REP,IL,Challenger,$0 ,$0 
"GOEL, MANJU",REP,IL,Challenger,$0 ,$0 
"KAIFESH, LAWRENCE JOSEPH",REP,IL,Challenger,"$2,350.50 ","$2,710.49 "
"WILLIAMS, DAVID EARL III",IND,IL,Challenger,"$15,659.23 ","$16,034.23 "
"SENGER, DARLENE",REP,IL,Challenger,$0 ,"$4,457.42 "
"ROBBINS, CRAIG",REP,IL,Challenger,$0 ,"$1,300.00 "
"GOLLIN, GEORGE",DEM,IL,Challenger,$0 ,"$4,034.26 "
"THORSLAND, ERIC LEE",DEM,IL,Challenger,$0 ,$0 
"HALE JR, DAVID JERRY",REP,IL,Challenger,$0 ,$0 
"DEUSER, AUGUST (O'NEILL)",REP,IL,Challenger,"$20,656.00 ","$20,150.00 "
"BROOKINS, HOWARD B. JR.",DEM,IL,Challenger,"$202,807.69 ","$202,807.69 "
"JACOBSON, OREN",DEM,IL,Challenger,"$9,747.89 ","$9,847.89 "
"SALAS, JAVIER MR",DEM,IL,Challenger,"$61,435.00 ","$59,565.02 "
"KOLBER, VINCE",REP,IL,Challenger,"$56,222.89 ","$51,597.36 "
"GRIMSLEY, WARREN GRIZZ",GRE,IL,Challenger,"$5,059.26 ","$6,353.00 "
"KINZLER, GORDON (JAY)",REP,IL,Challenger,"$202,857.66 ","$202,580.70 "
"HOWLAND, AMANDA",DEM,IL,Challenger,"$100,443.41 ","$104,678.51 "
"DAY, THOMAS",DEM,IL,Challenger,"$62,346.30 ","$62,345.72 "
"DETZEL, DENIS",REP,IL,Challenger,$0 ,$0 
"LASONDE, JOAN MCCARTHY",REP,IL,Challenger,"$202,329.60 ","$202,329.60 "
"RODKIN ROTERING, NANCY",DEM,IL,Challenger,"$1,510,236.51 ","$1,509,065.76 "
"KHOURI, TONIA",REP,IL,Challenger,"$753,146.76 ","$751,139.49 "
"TAMS, MICHAEL A",REP,IL,Challenger,"$25,214.69 ","$25,214.69 "
"STELLA, DOMINICK J. M.D.",REP,IL,Challenger,"$188,763.70 ","$187,687.36 "
"WHITE, HERMAN",REP,IL,Challenger,"$77,295.00 ","$77,256.85 "
"BARICEVIC, CHARLES JOHN",DEM,IL,Challenger,"$1,008,200.63 ","$995,539.36 "
"VOWELL, EDWARD F.",DEM,IL,Challenger,"$41,819.28 ","$46,819.28 "
"GILL, DAVID DR.",IND,IL,Challenger,"$25,020.95 ","$25,088.67 "
"WICKLUND, MARK DAVID",DEM,IL,Challenger,"$26,682.77 ","$23,337.01 "
"VANDERSAND, ETHAN",REP,IL,Challenger,"$21,371.59 ","$21,371.59 "
"WALZ, JIM",DEM,IL,Challenger,"$22,919.33 ","$22,725.36 "
"MCCARTER, KYLE",REP,IL,Challenger,"$499,282.24 ","$496,041.66 "
"RODRIGUEZ, JUNIUS",DEM,IL,Challenger,"$60,549.95 ","$61,943.00 "
"FLORES, MANUEL",DEM,IL,Challenger,$0 ,$0 
"MCSWEENEY, DAVID",REP,IL,Challenger,$23.00 ,$23.00 
"FOOTLIK, JAY K",DEM,IL,Challenger,$0 ,"$2,137.00 "
"COSTELLO, JERRY F",DEM,IL,Challenger,"$5,403.93 ","$312,329.55 "
"JACOBS, GREGORY S",REP,IL,Challenger,$0 ,$0 
"ZAK, RITA",REP,IL,Challenger,$0 ,$0 
"JOHNSON , KAREN M",IND,IL,Challenger,$0 ,$0 
"WALLACE, S RON",REP,IL,Challenger,$0 ,$0 
"SMITH, FREDERICK",DEM,IL,Challenger,$0 ,$0 
"LODATO, RAYMOND M",DEM,IL,Challenger,$0 ,$0 
"CALLIS, ANN",DEM,IL,Challenger,$0 ,$0 
"SPRADLIN, SAMUEL THOMAS",REP,IL,Challenger,$0 ,$0 
"DILL, JOSHUA ALLAN",IND,IL,Challenger,$0 ,$0 
"REICHEL, MATTHEW",GRE,IL,Challenger,$0 ,$0 
"SCHEURER, RANDI",DEM,IL,Challenger,$0 ,$0 
"RUTAGWIBIRA, ALOYS",DEM,IL,Challenger,$0 ,$0 
"AGUILAR, GREGORIO MIGUEL",DEM,IL,Challenger,$0 ,$0 
"ALESCH, STEVEN J",GRE,IL,Challenger,$0 ,$0 
