County,Sara Innamorato,Joseph E. Rockey,Total
Pittsburgh Ward 9 Dist 1,162,42,204
Pittsburgh Ward 9 Dist 2,163,51,214
Pittsburgh Ward 9 Dist 3,201,63,265
Pittsburgh Ward 9 Dist 4,173,54,228
Pittsburgh Ward 9 Dist 5,191,100,291
Pittsburgh Ward 9 Dist 6,191,66,257
Pittsburgh Ward 9 Dist 7,128,34,162
Pittsburgh Ward 9 Dist 8,181,60,242
Pittsburgh Ward 9 Dist 9,148,49,199
Pittsburgh Ward 10 Dist 1,231,39,272
Pittsburgh Ward 10 Dist 2,215,38,254
Pittsburgh Ward 10 Dist 3,220,67,287
Pittsburgh Ward 10 Dist 4,226,78,304
Pittsburgh Ward 10 Dist 5,187,66,254
Pittsburgh Ward 10 Dist 6,146,69,216
Pittsburgh Ward 10 Dist 7,175,103,282
Pittsburgh Ward 10 Dist 8,188,115,304
Pittsburgh Ward 10 Dist 9,145,103,250
Pittsburgh Ward 10 Dist 10,227,124,352
Pittsburgh Ward 10 Dist 11,217,93,310
Pittsburgh Ward 10 Dist 12,203,29,232
Pittsburgh Ward 10 Dist 13,183,55,238
Pittsburgh Ward 10 Dist 14,233,36,269
Pittsburgh Ward 10 Dist 15,85,13,98
Pittsburgh Ward 10 Dist 16,64,3,67
Pittsburgh Ward 10 Dist 17,125,17,143
Pittsburgh Ward 10 Dist 18,151,10,161
Pittsburgh Ward 10 Dist 19,127,12,139
Pittsburgh Ward 11 Dist 1,209,32,243
Pittsburgh Ward 11 Dist 2,166,9,175
Pittsburgh Ward 11 Dist 3,112,6,119
Pittsburgh Ward 11 Dist 4,130,7,138
Pittsburgh Ward 11 Dist 5,144,16,160
Pittsburgh Ward 11 Dist 6,250,34,284
Pittsburgh Ward 11 Dist 7,267,75,342
Pittsburgh Ward 11 Dist 8,185,42,227
Pittsburgh Ward 11 Dist 9,255,45,301
Pittsburgh Ward 11 Dist 10,255,108,363
Pittsburgh Ward 11 Dist 11,223,46,269
Pittsburgh Ward 11 Dist 12,258,66,324
Pittsburgh Ward 11 Dist 13,296,55,352
Pittsburgh Ward 11 Dist 14,171,12,183
Pittsburgh Ward 11 Dist 15,76,8,84
Pittsburgh Ward 11 Dist 16,145,26,172
Pittsburgh Ward 11 Dist 17,197,15,212
Pittsburgh Ward 11 Dist 18,150,12,162
Pittsburgh Ward 12 Dist 1,37,4,41
Pittsburgh Ward 12 Dist 2,52,0,52
Pittsburgh Ward 12 Dist 3,30,0,30
Pittsburgh Ward 12 Dist 4,72,2,74
Pittsburgh Ward 12 Dist 5,21,3,24
Pittsburgh Ward 12 Dist 6,43,2,45
Pittsburgh Ward 12 Dist 7,45,4,49
Pittsburgh Ward 12 Dist 8,39,2,42
Pittsburgh Ward 12 Dist 9,59,1,60
Pittsburgh Ward 12 Dist 10,117,7,124
Pittsburgh Ward 12 Dist 11,97,11,109
Pittsburgh Ward 12 Dist 12,55,13,68
Pittsburgh Ward 12 Dist 13,92,9,101
Pittsburgh Ward 12 Dist 14,73,2,75
Pittsburgh Ward 12 Dist 15,164,5,170
Pittsburgh Ward 12 Dist 16,92,7,100
Pittsburgh Ward 13 Dist 1,80,6,86
Pittsburgh Ward 13 Dist 2,77,6,84
Pittsburgh Ward 13 Dist 3,62,2,65
Pittsburgh Ward 13 Dist 4,61,1,62
Pittsburgh Ward 13 Dist 5,63,5,68
Pittsburgh Ward 13 Dist 6,66,5,71
Pittsburgh Ward 13 Dist 7,67,8,76
Pittsburgh Ward 13 Dist 8,58,2,60
Pittsburgh Ward 13 Dist 9,49,6,55
Pittsburgh Ward 13 Dist 10,30,5,35
Pittsburgh Ward 13 Dist 11,47,3,50
Pittsburgh Ward 13 Dist 12,93,9,102
Pittsburgh Ward 13 Dist 13,40,3,43
Pittsburgh Ward 13 Dist 14,51,6,57
Pittsburgh Ward 13 Dist 15,65,5,70
Pittsburgh Ward 13 Dist 16,59,9,68
Pittsburgh Ward 13 Dist 17,118,7,126
Pittsburgh Ward 13 Dist 18,16,2,18
Pittsburgh Ward 13 Dist 19,162,14,177
Pittsburgh Ward 14 Dist 1,136,49,185
Pittsburgh Ward 14 Dist 2,163,74,237
Pittsburgh Ward 14 Dist 3,294,122,416
Pittsburgh Ward 14 Dist 4,263,105,368
Pittsburgh Ward 14 Dist 5,253,149,402
Pittsburgh Ward 14 Dist 6,137,102,239
Pittsburgh Ward 14 Dist 7,228,65,293
Pittsburgh Ward 14 Dist 8,210,98,309
Pittsburgh Ward 14 Dist 9,268,155,423
Pittsburgh Ward 14 Dist 10,292,107,399
Pittsburgh Ward 14 Dist 11,358,102,462
Pittsburgh Ward 14 Dist 12,257,27,285
Pittsburgh Ward 14 Dist 13,322,44,367
Pittsburgh Ward 14 Dist 14,334,102,437
Pittsburgh Ward 14 Dist 15,264,51,316
Pittsburgh Ward 14 Dist 16,189,91,282
Pittsburgh Ward 14 Dist 17,217,59,276
Pittsburgh Ward 14 Dist 18,311,58,370
Pittsburgh Ward 14 Dist 19,286,79,367
Pittsburgh Ward 14 Dist 20,229,85,315
Pittsburgh Ward 14 Dist 21,246,81,328
Pittsburgh Ward 14 Dist 22,294,54,348
Pittsburgh Ward 14 Dist 23,256,110,368
Pittsburgh Ward 14 Dist 24,192,55,247
Pittsburgh Ward 14 Dist 25,317,202,520
Pittsburgh Ward 14 Dist 26,199,120,320
Pittsburgh Ward 14 Dist 27,200,104,305
Pittsburgh Ward 14 Dist 28,174,106,282
Pittsburgh Ward 14 Dist 29,245,104,352
Pittsburgh Ward 14 Dist 30,245,96,342
Pittsburgh Ward 14 Dist 31,401,243,647
Pittsburgh Ward 14 Dist 32,207,51,259
Pittsburgh Ward 14 Dist 33,223,88,311
Pittsburgh Ward 14 Dist 34,212,86,300
Pittsburgh Ward 14 Dist 35,206,79,285
Pittsburgh Ward 14 Dist 36,246,53,300
Pittsburgh Ward 14 Dist 37,177,79,258
Pittsburgh Ward 14 Dist 38,185,76,261
Pittsburgh Ward 14 Dist 39,199,66,267
Pittsburgh Ward 14 Dist 40,152,38,191
Pittsburgh Ward 14 Dist 41,21,12,33
Pittsburgh Ward 15 Dist 1,154,60,214
Pittsburgh Ward 15 Dist 2,211,80,291
Pittsburgh Ward 15 Dist 3,190,67,257
Pittsburgh Ward 15 Dist 4,219,67,286
Pittsburgh Ward 15 Dist 5,149,72,221
Pittsburgh Ward 15 Dist 6,182,83,265
Pittsburgh Ward 15 Dist 7,220,111,332
Pittsburgh Ward 15 Dist 8,192,89,283
Pittsburgh Ward 15 Dist 9,45,19,64
Pittsburgh Ward 15 Dist 10,157,99,256
Pittsburgh Ward 15 Dist 11,151,89,240
Pittsburgh Ward 15 Dist 12,120,84,204
Pittsburgh Ward 15 Dist 13,79,15,94
Pittsburgh Ward 15 Dist 14,39,15,54
Pittsburgh Ward 15 Dist 15,22,26,49
Pittsburgh Ward 15 Dist 16,99,29,128
Pittsburgh Ward 15 Dist 17,7,1,8
Pittsburgh Ward 15 Dist 18,97,32,129
Pittsburgh Ward 15 Dist 19,74,15,89
Pittsburgh Ward 16 Dist 1,219,73,293
Pittsburgh Ward 16 Dist 2,237,93,332
Pittsburgh Ward 16 Dist 3,211,98,309
Pittsburgh Ward 16 Dist 4,82,33,116
Pittsburgh Ward 16 Dist 5,128,69,197
Pittsburgh Ward 16 Dist 6,91,53,144
Pittsburgh Ward 16 Dist 7,74,42,116
Pittsburgh Ward 16 Dist 8,3,0,3
Pittsburgh Ward 16 Dist 9,95,52,148
Pittsburgh Ward 16 Dist 10,60,48,108
Pittsburgh Ward 16 Dist 11,45,38,84
Pittsburgh Ward 17 Dist 1,33,18,51
Pittsburgh Ward 17 Dist 2,159,60,220
Pittsburgh Ward 17 Dist 3,122,55,178
Pittsburgh Ward 17 Dist 4,172,91,263
Pittsburgh Ward 17 Dist 5,142,43,186
Pittsburgh Ward 17 Dist 6,61,48,109
Pittsburgh Ward 17 Dist 7,90,44,134
Pittsburgh Ward 17 Dist 8,82,40,123
Pittsburgh Ward 18 Dist 1,119,122,241
Pittsburgh Ward 18 Dist 2,93,8,101
Pittsburgh Ward 18 Dist 3,89,6,95
Pittsburgh Ward 18 Dist 4,102,16,119
Pittsburgh Ward 18 Dist 5,191,104,295
Pittsburgh Ward 18 Dist 6,80,22,102
Pittsburgh Ward 18 Dist 7,79,45,124
Pittsburgh Ward 18 Dist 8,39,7,46
Pittsburgh Ward 18 Dist 9,102,40,142
Pittsburgh Ward 18 Dist 10,11,10,21
Pittsburgh Ward 18 Dist 11,70,31,101
Pittsburgh Ward 19 Dist 1,116,106,223
Pittsburgh Ward 19 Dist 2,161,107,269
Pittsburgh Ward 19 Dist 3,131,100,231
Pittsburgh Ward 19 Dist 4,90,74,165
Pittsburgh Ward 19 Dist 5,80,64,144
Pittsburgh Ward 19 Dist 6,100,67,167
Pittsburgh Ward 19 Dist 7,34,21,56
Pittsburgh Ward 19 Dist 8,109,47,156
Pittsburgh Ward 19 Dist 9,92,47,139
Pittsburgh Ward 19 Dist 10,102,76,178
Pittsburgh Ward 19 Dist 11,58,47,105
Pittsburgh Ward 19 Dist 12,96,98,195
Pittsburgh Ward 19 Dist 13,66,34,100
Pittsburgh Ward 19 Dist 14,103,56,159
Pittsburgh Ward 19 Dist 15,146,73,220
Pittsburgh Ward 19 Dist 16,135,46,181
Pittsburgh Ward 19 Dist 17,128,71,199
Pittsburgh Ward 19 Dist 18,104,47,151
Pittsburgh Ward 19 Dist 19,83,70,154
Pittsburgh Ward 19 Dist 20,105,99,205
Pittsburgh Ward 19 Dist 21,154,76,230
Pittsburgh Ward 19 Dist 22,125,56,181
Pittsburgh Ward 19 Dist 23,105,101,206
Pittsburgh Ward 19 Dist 24,111,64,175
Pittsburgh Ward 19 Dist 25,147,87,236
Pittsburgh Ward 19 Dist 26,115,52,167
Pittsburgh Ward 19 Dist 27,82,85,170
Pittsburgh Ward 19 Dist 28,213,132,346
Pittsburgh Ward 19 Dist 29,116,84,200
Pittsburgh Ward 19 Dist 30,138,89,228
Pittsburgh Ward 19 Dist 31,105,113,218
Pittsburgh Ward 19 Dist 32,170,89,260
Pittsburgh Ward 19 Dist 33,92,105,197
Pittsburgh Ward 19 Dist 34,136,79,216
Pittsburgh Ward 19 Dist 35,102,94,197
Pittsburgh Ward 19 Dist 36,133,139,272
Pittsburgh Ward 19 Dist 37,90,92,182
Pittsburgh Ward 19 Dist 38,127,84,211
Pittsburgh Ward 20 Dist 1,106,156,262
Pittsburgh Ward 20 Dist 2,35,36,71
Pittsburgh Ward 20 Dist 3,145,131,277
Pittsburgh Ward 20 Dist 4,15,11,26
Pittsburgh Ward 20 Dist 5,114,68,184
Pittsburgh Ward 20 Dist 6,73,57,131
Pittsburgh Ward 20 Dist 7,98,50,148
Pittsburgh Ward 20 Dist 8,120,85,205
Pittsburgh Ward 20 Dist 9,24,14,38
Pittsburgh Ward 20 Dist 10,99,29,128
Pittsburgh Ward 20 Dist 11,94,35,129
Pittsburgh Ward 20 Dist 12,172,100,274
Pittsburgh Ward 20 Dist 13,103,31,134
Pittsburgh Ward 20 Dist 14,165,93,258
Pittsburgh Ward 20 Dist 15,149,75,224
Pittsburgh Ward 20 Dist 16,110,173,283
Pittsburgh Ward 20 Dist 17,71,136,207
Pittsburgh Ward 20 Dist 18,67,150,218
Pittsburgh Ward 21 Dist 1,117,18,135
Pittsburgh Ward 21 Dist 2,146,27,173
Pittsburgh Ward 21 Dist 3,186,14,200
Pittsburgh Ward 21 Dist 4,159,22,181
Pittsburgh Ward 22 Dist 1,240,81,321
Pittsburgh Ward 22 Dist 2,235,61,296
Pittsburgh Ward 22 Dist 3,181,45,226
Pittsburgh Ward 22 Dist 4,131,32,163
Pittsburgh Ward 23 Dist 1,251,73,324
Pittsburgh Ward 23 Dist 2,192,69,262
Pittsburgh Ward 23 Dist 3,58,31,89
Pittsburgh Ward 24 Dist 1,95,65,160
Pittsburgh Ward 24 Dist 2,93,75,168
Pittsburgh Ward 24 Dist 3,62,45,108
Pittsburgh Ward 24 Dist 4,137,104,241
Pittsburgh Ward 24 Dist 5,99,59,158
Pittsburgh Ward 24 Dist 6,124,83,208
Pittsburgh Ward 25 Dist 1,145,24,172
Pittsburgh Ward 25 Dist 2,142,33,175
Pittsburgh Ward 25 Dist 3,156,30,186
Pittsburgh Ward 25 Dist 4,62,3,65
Pittsburgh Ward 25 Dist 5,83,21,104
Pittsburgh Ward 25 Dist 6,55,9,64
Pittsburgh Ward 25 Dist 7,89,61,150
Pittsburgh Ward 26 Dist 1,111,23,134
Pittsburgh Ward 26 Dist 2,104,7,111
Pittsburgh Ward 26 Dist 3,107,23,130
Pittsburgh Ward 26 Dist 4,82,17,100
Pittsburgh Ward 26 Dist 5,38,5,43
Pittsburgh Ward 26 Dist 6,33,2,37
Pittsburgh Ward 26 Dist 7,64,10,74
Pittsburgh Ward 26 Dist 8,56,31,87
Pittsburgh Ward 26 Dist 9,106,65,171
Pittsburgh Ward 26 Dist 10,188,39,227
Pittsburgh Ward 26 Dist 11,183,55,240
Pittsburgh Ward 26 Dist 12,104,48,152
Pittsburgh Ward 26 Dist 13,133,63,196
Pittsburgh Ward 26 Dist 14,118,154,273
Pittsburgh Ward 26 Dist 15,92,96,188
Pittsburgh Ward 26 Dist 16,183,63,246
Pittsburgh Ward 26 Dist 17,36,39,76
Pittsburgh Ward 27 Dist 1,231,152,385
Pittsburgh Ward 27 Dist 2,178,169,347
Pittsburgh Ward 27 Dist 3,143,79,223
Pittsburgh Ward 27 Dist 4,203,104,307
Pittsburgh Ward 27 Dist 5,199,130,329
Pittsburgh Ward 27 Dist 6,151,75,226
Pittsburgh Ward 27 Dist 7,194,84,279
Pittsburgh Ward 27 Dist 8,131,79,210
Pittsburgh Ward 27 Dist 9,89,63,153
Pittsburgh Ward 27 Dist 10,117,48,165
Pittsburgh Ward 27 Dist 11,101,43,144
Pittsburgh Ward 27 Dist 12,86,48,134
Pittsburgh Ward 27 Dist 13,119,49,168
Pittsburgh Ward 28 Dist 1,124,145,269
Pittsburgh Ward 28 Dist 2,91,57,148
Pittsburgh Ward 28 Dist 3,169,185,354
Pittsburgh Ward 28 Dist 4,122,148,270
Pittsburgh Ward 28 Dist 5,148,75,223
Pittsburgh Ward 28 Dist 6,119,110,230
Pittsburgh Ward 28 Dist 7,77,46,123
Pittsburgh Ward 28 Dist 8,196,164,361
Pittsburgh Ward 28 Dist 9,156,67,223
Pittsburgh Ward 28 Dist 10,51,11,62
Pittsburgh Ward 28 Dist 11,30,7,37
Pittsburgh Ward 29 Dist 1,58,106,165
Pittsburgh Ward 29 Dist 2,115,82,197
Pittsburgh Ward 29 Dist 3,70,71,141
Pittsburgh Ward 29 Dist 4,64,99,164
Pittsburgh Ward 29 Dist 5,59,80,139
Pittsburgh Ward 29 Dist 6,84,89,173
Pittsburgh Ward 29 Dist 7,122,93,215
Pittsburgh Ward 29 Dist 8,68,70,138
Pittsburgh Ward 29 Dist 9,58,40,98
Pittsburgh Ward 29 Dist 10,117,77,194
Pittsburgh Ward 29 Dist 11,104,116,220
Pittsburgh Ward 29 Dist 12,73,71,144
Pittsburgh Ward 30 Dist 1,61,13,74
Pittsburgh Ward 30 Dist 2,77,12,89
Pittsburgh Ward 30 Dist 3,29,13,42
Pittsburgh Ward 30 Dist 4,81,38,119
Pittsburgh Ward 30 Dist 5,101,41,144
Pittsburgh Ward 31 Dist 1,27,27,55
Pittsburgh Ward 31 Dist 2,68,155,224
Pittsburgh Ward 31 Dist 3,86,122,209
Pittsburgh Ward 31 Dist 4,68,129,198
Pittsburgh Ward 31 Dist 5,123,187,310
Pittsburgh Ward 31 Dist 6,80,145,225
Pittsburgh Ward 31 Dist 7,43,11,54
Pittsburgh Ward 32 Dist 1,73,113,186
Pittsburgh Ward 32 Dist 2,91,117,208
Pittsburgh Ward 32 Dist 3,95,106,201
Pittsburgh Ward 32 Dist 4,69,43,112
Pittsburgh Ward 32 Dist 5,131,115,246
Pittsburgh Ward 32 Dist 6,89,145,234
Pittsburgh Ward 32 Dist 7,137,110,247
Pittsburgh Ward 32 Dist 8,115,183,300
Pleasant Hl Dist 1,122,148,271
Pleasant Hl Dist 2,97,147,244
Pleasant Hl Dist 3,122,141,264
Pleasant Hl Dist 4,111,123,234
Pleasant Hl Dist 5,108,166,274
Pleasant Hl Dist 6,149,268,417
Pleasant Hl Dist 7,105,126,231
Pleasant Hl Dist 8,66,171,237
Pleasant Hl Dist 9,132,162,294
Pleasant Hl Dist 10,72,146,218
Plum Dist 1,288,417,705
Plum Dist 2,83,158,241
Plum Dist 3,220,321,541
Plum Dist 4,144,209,353
Plum Dist 5,158,201,360
Plum Dist 6,198,382,581
Plum Dist 7,194,294,488
Plum Dist 8,93,138,232
Plum Dist 9,224,309,535
Plum Dist 10,89,125,214
Plum Dist 11,137,193,330
Plum Dist 12,231,291,522
Plum Dist 13,95,158,253
Plum Dist 14,109,134,244
Plum Dist 15,127,121,251
Plum Dist 16,98,147,245
Plum Dist 17,104,149,253
Plum Dist 18,140,226,366
Plum Dist 19,313,529,842
Plum Dist 20,140,228,368
Plum Dist 21,42,132,175
Port Vue Dist 1,74,84,158
Port Vue Dist 2,65,98,164
Port Vue Dist 3,87,143,230
Port Vue Dist 4,111,146,257
Rankin Ward 1,65,20,87
Rankin Ward 2,87,15,103
Rankin Ward 3,55,11,66
Reserve Ward 1,126,101,227
Reserve Ward 2,111,155,266
Reserve Ward 3,110,135,245
Reserve Ward 4,161,239,400
Richland Dist 1,206,361,568
Richland Dist 2,189,314,505
Richland Dist 3,200,331,531
Richland Dist 4,192,349,543
Richland Dist 5,166,311,477
Richland Dist 6,183,324,508
Richland Dist 7,206,332,538
Richland Dist 8,152,348,500
Robinson Dist 1,287,479,766
Robinson Dist 2,218,393,611
Robinson Dist 3,114,199,313
Robinson Dist 4,170,245,417
Robinson Dist 5,123,202,326
Robinson Dist 6,127,184,312
Robinson Dist 7,247,467,714
Robinson Dist 8,235,280,515
Robinson Dist 9,366,672,1042
Ross Ward 1 Dist 1,137,233,372
Ross Ward 1 Dist 2,149,156,305
Ross Ward 1 Dist 3,87,118,207
Ross Ward 1 Dist 4,160,264,425
Ross Ward 2 Dist 1,216,302,518
Ross Ward 2 Dist 2,206,271,477
Ross Ward 2 Dist 3,139,211,350
Ross Ward 3 Dist 1,154,170,324
Ross Ward 3 Dist 2,158,195,353
Ross Ward 3 Dist 3,88,132,220
Ross Ward 3 Dist 4,142,184,326
Ross Ward 4 Dist 1,192,244,436
Ross Ward 4 Dist 2,193,264,457
Ross Ward 4 Dist 3,135,248,383
Ross Ward 4 Dist 4,129,216,345
Ross Ward 5 Dist 1,120,184,304
Ross Ward 5 Dist 2,86,107,194
Ross Ward 5 Dist 3,158,180,338
Ross Ward 5 Dist 4,143,232,375
Ross Ward 6 Dist 1,110,97,207
Ross Ward 6 Dist 2,214,205,419
Ross Ward 6 Dist 3,147,125,273
Ross Ward 6 Dist 4,99,136,235
Ross Ward 7 Dist 1,106,167,273
Ross Ward 7 Dist 2,84,86,170
Ross Ward 7 Dist 3,130,214,344
Ross Ward 7 Dist 4,105,160,266
Ross Ward 8 Dist 1,293,320,613
Ross Ward 8 Dist 2,102,117,220
Ross Ward 8 Dist 3,124,144,268
Ross Ward 9 Dist 1,170,267,438
Ross Ward 9 Dist 2,190,276,466
Ross Ward 9 Dist 3,151,253,405
Rosslyn Farms,85,150,235
Scott Ward 1 Dist 1,72,88,160
Scott Ward 1 Dist 2,83,100,183
Scott Ward 2 Dist 1,117,90,207
Scott Ward 2 Dist 2,122,203,325
Scott Ward 3 Dist 1,106,136,242
Scott Ward 3 Dist 2,133,201,334
Scott Ward 4 Dist 1,152,209,362
Scott Ward 4 Dist 2,124,170,295
Scott Ward 5 Dist 1,105,125,230
Scott Ward 5 Dist 2,142,210,353
Scott Ward 6 Dist 1,116,122,238
Scott Ward 6 Dist 2,156,203,359
Scott Ward 7 Dist 1,176,221,397
Scott Ward 7 Dist 2,128,198,326
Scott Ward 8 Dist 1,93,131,224
Scott Ward 8 Dist 2,224,354,579
Scott Ward 9 Dist 1,59,63,123
Scott Ward 9 Dist 2,66,64,130
Sewickley Ward 1,223,204,427
Sewickley Ward 2 Dist 1,92,135,228
Sewickley Ward 2 Dist 2,133,147,280
Sewickley Ward 3,231,182,413
Sewickley Hts,95,278,373
Sewickley Hills,113,174,288
Shaler Ward 1 Dist 1,110,136,247
Shaler Ward 1 Dist 2,107,96,204
Shaler Ward 1 Dist 3,115,122,237
Shaler Ward 1 Dist 4,166,157,325
Shaler Ward 1 Dist 5,123,146,269
Shaler Ward 2 Dist 1,176,328,504
Shaler Ward 2 Dist 2,150,204,355
Shaler Ward 2 Dist 3,146,130,278
Shaler Ward 2 Dist 4,173,203,377
Shaler Ward 2 Dist 5,63,96,159
Shaler Ward 3 Dist 1,130,168,300
Shaler Ward 3 Dist 2,115,169,285
Shaler Ward 3 Dist 3,98,179,277
Shaler Ward 3 Dist 4,150,196,347
Shaler Ward 3 Dist 5,128,228,356
Shaler Ward 4 Dist 1,161,228,389
Shaler Ward 4 Dist 2,97,95,192
Shaler Ward 4 Dist 3,146,186,333
Shaler Ward 4 Dist 4,116,199,315
Shaler Ward 4 Dist 5,112,133,245
Shaler Ward 5 Dist 1,127,247,374
Shaler Ward 5 Dist 2,155,211,366
Shaler Ward 5 Dist 3,130,175,305
Shaler Ward 5 Dist 4,65,104,169
Shaler Ward 5 Dist 5,126,236,362
Shaler Ward 6 Dist 1,133,170,303
Shaler Ward 6 Dist 2,133,207,340
Shaler Ward 6 Dist 3,104,180,284
Shaler Ward 6 Dist 4,67,111,178
Shaler Ward 6 Dist 5,122,167,289
Shaler Ward 7 Dist 1,154,138,292
Shaler Ward 7 Dist 2,154,193,347
Shaler Ward 7 Dist 3,113,147,261
Shaler Ward 7 Dist 4,175,282,457
Sharpsburg Dist 1,123,72,195
Sharpsburg Dist 2,184,81,266
Sharpsburg Dist 3,136,146,282
S Fayette Dist 1,127,173,300
S Fayette Dist 2,187,321,510
S Fayette Dist 3,283,394,677
S Fayette Dist 4,140,218,358
S Fayette Dist 5,151,211,362
S Fayette Dist 6,199,254,455
S Fayette Dist 7,120,163,283
S Fayette Dist 8,267,483,750
S Fayette Dist 9,97,151,248
S Fayette Dist 10,116,183,299
S Fayette Dist 11,173,260,433
S Fayette Dist 12,170,197,367
South Park Dist 1,99,275,374
South Park Dist 2,134,217,351
South Park Dist 3,102,163,265
South Park Dist 4,153,154,307
South Park Dist 5,146,178,326
South Park Dist 6,164,215,379
South Park Dist 7,196,294,490
South Park Dist 8,110,153,263
South Park Dist 9,151,216,367
South Park Dist 10,132,224,356
South Park Dist 11,83,111,196
South Park Dist 12,117,149,267
South Park Dist 13,160,335,495
S Versailles,24,66,90
Springdale Br Dist 1,124,156,280
Springdale Br Dist 2,107,190,297
Springdale Br Dist 3,105,117,222
Springdale Br Dist 4,81,105,186
Springdale Twp,235,353,588
Stowe Ward 1,56,50,106
Stowe Ward 2 Dist 1,13,22,35
Stowe Ward 2 Dist 2,89,92,182
Stowe Ward 3,41,51,92
Stowe Ward 4 Dist 1,44,74,118
Stowe Ward 4 Dist 2,51,110,161
Stowe Ward 5,62,53,115
Stowe Ward 6,43,37,80
Stowe Ward 7,18,17,35
Stowe Ward 8,23,28,51
Stowe Ward 9,39,20,59
Swissvale Dist 1,157,41,198
Swissvale Dist 2,169,42,212
Swissvale Dist 3,164,41,205
Swissvale Dist 4,163,43,207
Swissvale Dist 5,223,59,282
Swissvale Dist 6,90,15,105
Swissvale Dist 7,209,83,292
Swissvale Dist 8,196,72,268
Swissvale Dist 9,209,59,268
Swissvale Dist 10,48,6,54
Swissvale Dist 11,272,92,364
Tarentum Ward 1 Dist 1,67,85,152
Tarentum Ward 1 Dist 2,75,72,148
Tarentum Ward 2,68,66,134
Tarentum Ward 3 Dist 1,23,34,57
Tarentum Ward 3 Dist 2,53,92,145
Thornburg,106,140,246
Pennsbury Vill,127,126,253
Trafford,14,12,26
Turtle Creek Ward 1 Dist 1,142,130,272
Turtle Creek Ward 1 Dist 2,49,50,99
Turtle Creek Ward 2 Dist 1,99,61,160
Turtle Creek Ward 2 Dist 2,45,22,67
Turtle Creek Ward 3 Dist 1,85,39,125
Turtle Creek Ward 3 Dist 2,78,86,164
Up St Clair Ward 1 Dist 1,103,133,236
Up St Clair Ward 1 Dist 2,155,239,394
Up St Clair Ward 1 Dist 3,181,364,546
Up St Clair Ward 1 Dist 4,185,216,401
Up St Clair Ward 2 Dist 1,194,237,433
Up St Clair Ward 2 Dist 2,112,257,369
Up St Clair Ward 2 Dist 3,206,283,489
Up St Clair Ward 2 Dist 4,109,160,270
Up St Clair Ward 3 Dist 1,207,251,458
Up St Clair Ward 3 Dist 2,181,327,508
Up St Clair Ward 3 Dist 3,225,384,611
Up St Clair Ward 4 Dist 1,202,315,517
Up St Clair Ward 4 Dist 2,126,162,288
Up St Clair Ward 4 Dist 3,138,186,324
Up St Clair Ward 4 Dist 4,204,320,524
Up St Clair Ward 5 Dist 1,208,345,553
Up St Clair Ward 5 Dist 2,265,349,616
Up St Clair Ward 5 Dist 3,181,231,413
Verona Dist 1,89,71,160
Verona Dist 2,106,94,200
Verona Dist 3,113,113,228
Versailles Dist 1,72,93,165
Versailles Dist 2,91,50,141
Wall,38,33,71
West Deer Dist 1,194,471,666
West Deer Dist 2,77,198,275
West Deer Dist 3,100,212,312
West Deer Dist 4,149,294,443
West Deer Dist 5,118,211,329
West Deer Dist 6,122,229,351
West Deer Dist 7,266,587,854
West Deer Dist 8,284,544,830
W Elizabeth,30,48,78
W Homestead Dist 1,74,26,100
W Homestead Dist 2,77,160,237
W Homestead Dist 3,81,167,248
West Mifflin Dist 1,121,139,260
West Mifflin Dist 2,110,35,145
West Mifflin Dist 3,99,82,181
West Mifflin Dist 4,32,4,36
West Mifflin Dist 5,148,216,365
West Mifflin Dist 6,61,73,134
West Mifflin Dist 7,148,156,304
West Mifflin Dist 8,115,50,165
West Mifflin Dist 9,149,128,278
West Mifflin Dist 10,91,117,209
West Mifflin Dist 11,112,134,246
West Mifflin Dist 12,151,165,316
West Mifflin Dist 13,86,98,184
West Mifflin Dist 14,154,255,412
West Mifflin Dist 15,125,136,261
West Mifflin Dist 16,192,301,495
West Mifflin Dist 17,111,120,231
West Mifflin Dist 18,154,159,314
West Mifflin Dist 19,110,142,252
West Mifflin Dist 20,103,139,242
West Mifflin Dist 21,107,165,273
West View Dist 1,125,134,260
West View Dist 2,138,136,274
West View Dist 3,102,116,218
West View Dist 4,119,138,257
West View Dist 5,156,156,315
West View Dist 6,135,169,304
West View Dist 7,167,148,316
Whitaker Dist 1,87,75,162
Whitaker Dist 2,66,44,110
Whitehall Dist 1,107,140,247
Whitehall Dist 2,116,130,248
Whitehall Dist 3,123,226,350
Whitehall Dist 4,138,183,322
Whitehall Dist 5,153,156,310
Whitehall Dist 6,101,38,139
Whitehall Dist 7,103,122,225
Whitehall Dist 8,181,222,403
Whitehall Dist 9,103,148,251
Whitehall Dist 10,113,146,259
Whitehall Dist 11,107,208,316
Whitehall Dist 12,96,153,253
Whitehall Dist 13,163,184,347
Whitehall Dist 14,127,150,279
Whitehall Dist 15,185,329,515
Whitehall Dist 16,137,184,321
White Oak Dist 1,119,173,292
White Oak Dist 2,134,150,285
White Oak Dist 3,170,206,377
White Oak Dist 4,165,212,377
White Oak Dist 5,150,236,387
White Oak Dist 6,101,227,328
White Oak Dist 7,173,277,451
Wilkins Ward 1 Dist 1,139,115,256
Wilkins Ward 1 Dist 2,147,169,317
Wilkins Ward 1 Dist 3,231,161,393
Wilkins Ward 1 Dist 4,159,127,288
Wilkins Ward 1 Dist 5,111,53,164
